"JT Restaurant",4155715108,,,+1-415-571-5108,"San Francisco, CA 94103 SoMa 953 Mission St ",https://www.yelp.com/biz/jt-restaurant-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,28,,37.781617918219,-122.4075065
"Montesacro Pinseria-Enoteca",4157953040,montesacrosf.com,,+1-415-795-3040,"San Francisco, CA 94103 SoMa 510 Stevenson St ",https://www.yelp.com/biz/montesacro-pinseria-enoteca-san-francisco-5?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,268,,37.7815976,-122.410121
"Basil Thai Restaurant & Bar",4155528999,basilthai.com/home.html,info@basilthai.comi,+1-415-552-8999,"San Francisco, CA 94103 SoMa 1175 Folsom St ",https://www.yelp.com/biz/basil-thai-restaurant-and-bar-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,1262,,37.7754,-122.40927
Ayola,4153480808,ayolasf.com,,+1-415-348-0808,"San Francisco, CA 94105 Financial District 118 New Montgomery St ",https://www.yelp.com/biz/ayola-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,616,,37.7870726,-122.400273
"Mathilde French Bistro",4155466128,mathildesf.com,eat@lecharm.com,+1-415-546-6128,"San Francisco, CA 94107 SoMa 315 5th St ",https://www.yelp.com/biz/mathilde-french-bistro-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,96,,37.78001340268,-122.40296537302
"Miss SaiGon",4155220332,misssaigonsfwebsit.wix.com/mi…,,+1-415-522-0332,"San Francisco, CA 94103 SoMa 100 6th St ",https://www.yelp.com/biz/miss-saigon-san-francisco-2?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,820,,37.78071,-122.40876
Skool,4152558800,skoolsf.com,Skoolsf@gmail.com,+1-415-255-8800,"San Francisco, CA 94103 SoMa 1725 Alameda St ",https://www.yelp.com/biz/skool-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,1278,,37.768509696704,-122.40213632584
"The Fly Trap",4152430580,flytrapsf.com,info@flytrapsf.com,+1-415-243-0580,"San Francisco, CA 94107 Financial District 606 Folsom St ",https://www.yelp.com/biz/the-fly-trap-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,888,,37.78535,-122.397074
"Buckhorn Grill",4159789770,buckhorngrill.com,,+1-415-978-9770,"San Francisco, CA 94103 Union Square 845 Market St Westfield San Francisco Ctr ",https://www.yelp.com/biz/buckhorn-grill-san-francisco-2?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,585,,37.784509361467,-122.40608300192
"Azucar Lounge",4152552982,azucarsf.com,,+1-415-255-2982,"San Francisco, CA 94103 SoMa 299 9th St ",https://www.yelp.com/biz/azucar-lounge-san-francisco-4?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,506,,37.77392,-122.411618
Wanna-E,4153415213,wanna-e.com,wannaesf@gmail.com,+1-415-341-5213,"San Francisco, CA 94107 SoMa 425 2nd St ",https://www.yelp.com/biz/wanna-e-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,36,,37.784125,-122.3945068
"Tēo Restaurant & Bar",4156268366,teosf.com,,+1-415-626-8366,"San Francisco, CA 94103 SoMa 1111 Mission St ",https://www.yelp.com/biz/t%C4%93o-restaurant-and-bar-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,50,,37.779043213534,-122.41098694503
"Kokio Republic",4157872525,kokiorepublic.com,,+1-415-787-2525,"San Francisco, CA 94103 SoMa ",https://www.yelp.com/biz/kokio-republic-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,106,,37.783774366571,-122.39448733375
"No No Burger",4157109280,nonoburger.com,kendall@nonoburger.com,+1-415-710-9280,"San Francisco, CA 94103 SoMa 428 11th St ",https://www.yelp.com/biz/no-no-burger-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,136,,37.7697686,-122.4120492
"The Sentinel",4152849960,thesentinelsf.com,mikefig@thesentinelsf.com,+1-415-284-9960,"San Francisco, CA 94105 Financial District 37 New Montgomery St ",https://www.yelp.com/biz/the-sentinel-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,1255,,37.788297778501,-122.40137235699
"Crazy Crab'z",,,,,"San Francisco, CA 94107 SoMa 24 Willie Mays Plz AT&T Park ",https://www.yelp.com/biz/crazy-crabz-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,194,,37.778479444318,-122.38815735218
"Fondue Cowboy",4154315100,fonduecowboy.com,,+1-415-431-5100,"San Francisco, CA 94103 SoMa 1052 Folsom St ",https://www.yelp.com/biz/fondue-cowboy-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,444,,37.7776,-122.40702
"South Park Cafe",4154957275,southparkcafe.com,,+1-415-495-7275,"San Francisco, CA 94107 SoMa 108 S Park St ",https://www.yelp.com/biz/south-park-cafe-san-francisco-5?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,487,,37.78167,-122.39445
"Primo Patio Cafe",4159571129,primopatiocafe.com,ckelton@primopatiocafe.com,+1-415-957-1129,"San Francisco, CA 94107 SoMa 214 Townsend St ",https://www.yelp.com/biz/primo-patio-cafe-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,864,,37.7786607,-122.3932278
Okane,4158659788,okanesf.com,info@omakasesf.com,+1-415-865-9788,"San Francisco, CA 94103 SoMa 669 Townsend St ",https://www.yelp.com/biz/okane-san-francisco?adjust_creative=hDdWzPS6tV8OJsYyFXnXZg&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=hDdWzPS6tV8OJsYyFXnXZg,97,,37.77039,-122.40269
